step=031 action=0 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 3, 'S': 10, 'E': 9, 'W': 7} reward=-1.0
step=032 action=0 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 3, 'S': 10, 'E': 9, 'W': 7} reward=-1.1
step=033 action=0 queues(env)=N0,S0,E2,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 2, 'W': 0} rendered_departing={'N': 3, 'S': 10, 'E': 9, 'W': 7} reward=-0.2
step=034 action=1 queues(env)=N0,S1,E1,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 0} rendered_departing={'N': 3, 'S': 10, 'E': 10, 'W': 7} reward=-5.1
step=035 action=1 queues(env)=N1,S1,E0,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 3, 'S': 10, 'E': 10, 'W': 7} reward=-0.1
step=036 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 4, 'S': 10, 'E': 10, 'W': 7} reward=-2.0
step=037 action=0 queues(env)=N0,S0,E1,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 4, 'S': 10, 'E': 10, 'W': 7} reward=-0.1
step=038 action=1 queues(env)=N1,S0,E1,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 4, 'S': 10, 'E': 10, 'W': 8} reward=-5.0
step=039 action=1 queues(env)=N2,S1,E1,W0 rendered_approaching={'N': 2, 'S': 1, 'E': 1, 'W': 0} rendered_departing={'N': 4, 'S': 10, 'E': 10, 'W': 8} reward=-4.1
step=040 action=0 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 6, 'S': 10, 'E': 10, 'W': 8} reward=-2.1
step=041 action=1 queues(env)=N1,S0,E0,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 6, 'S': 10, 'E': 10, 'W': 8} reward=-4.0
step=042 action=1 queues(env)=N1,S0,E0,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 6, 'S': 10, 'E': 10, 'W': 8} reward=0.9
step=043 action=1 queues(env)=N2,S0,E0,W0 rendered_approaching={'N': 2, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 6, 'S': 10, 'E': 10, 'W': 8} reward=-2.2
step=044 action=0 queues(env)=N1,S0,E1,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 7, 'S': 10, 'E': 10, 'W': 8} reward=-5.0
step=045 action=0 queues(env)=N0,S0,E1,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 8, 'S': 10, 'E': 10, 'W': 8} reward=1.9
step=046 action=1 queues(env)=N1,S1,E0,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 8, 'S': 10, 'E': 10, 'W': 9} reward=-3.0
step=047 action=0 queues(env)=N1,S0,E0,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 8, 'S': 10, 'E': 10, 'W': 9} reward=-4.0
step=048 action=0 queues(env)=N1,S0,E1,W1 rendered_approaching={'N': 1, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 8, 'S': 10, 'E': 10, 'W': 9} reward=-1.0
step=049 action=0 queues(env)=N0,S0,E1,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 9} reward=-0.2
step=050 action=1 queues(env)=N1,S1,E0,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 10} reward=-3.0
step=051 action=0 queues(env)=N0,S0,E1,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-3.0
step=052 action=1 queues(env)=N1,S0,E0,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-2.0
step=053 action=1 queues(env)=N1,S1,E0,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-2.1
step=054 action=0 queues(env)=N0,S0,E1,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-3.0
step=055 action=1 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-4.0
step=056 action=1 queues(env)=N1,S0,E0,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=1.0
step=057 action=1 queues(env)=N2,S1,E0,W0 rendered_approaching={'N': 2, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-1.1
step=058 action=0 queues(env)=N1,S0,E1,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-5.1
step=059 action=0 queues(env)=N1,S0,E2,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 2, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-1.1
step=060 action=0 queues(env)=N0,S0,E2,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 2, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-0.3
step=061 action=1 queues(env)=N1,S1,E2,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 2, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-7.2
step=062 action=1 queues(env)=N1,S1,E2,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 2, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-4.3
step=063 action=1 queues(env)=N2,S1,E0,W0 rendered_approaching={'N': 2, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=0.6
step=064 action=0 queues(env)=N1,S0,E1,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-5.1
step=065 action=0 queues(env)=N0,S0,E2,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 2, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-1.1
step=066 action=1 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-1.0
step=067 action=1 queues(env)=N1,S0,E0,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=3.0
step=068 action=1 queues(env)=N2,S1,E0,W0 rendered_approaching={'N': 2, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-1.1
step=069 action=0 queues(env)=N2,S1,E1,W0 rendered_approaching={'N': 2, 'S': 1, 'E': 1, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-9.1
step=070 action=0 queues(env)=N2,S0,E1,W0 rendered_approaching={'N': 2, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-1.2
step=071 action=0 queues(env)=N1,S0,E2,W0 rendered_approaching={'N': 1, 'S': 0, 'E': 2, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-1.2
step=072 action=0 queues(env)=N0,S0,E2,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 2, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-0.4
step=073 action=1 queues(env)=N0,S1,E0,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-4.0
step=074 action=1 queues(env)=N0,S1,E0,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-1.1
