time/fps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,time/time_elapsed,train/n_updates,train/learning_rate,time/total_timesteps,time/episodes
4201,447.7692307692308,0.05,-7401.461538461538,2.096540689468384,2,2885,0.001,11642,26
4217,449.7037037037037,0.05,-7187.322222222223,2.051422595977783,2,3010,0.001,12142,27
4233,451.5,0.05,-6987.175000000001,1.6660548448562622,2,3135,0.001,12642,28
4249,453.17241379310343,0.05,-6808.168965517242,2.4838175773620605,3,3260,0.001,13142,29
4266,454.73333333333335,0.05,-6636.656666666667,2.5129969120025635,3,3385,0.001,13642,30
4280,456.19354838709677,0.05,-6467.4548387096775,2.260237455368042,3,3510,0.001,14142,31
4281,457.5625,0.05,-6318.178125,2.0745325088500977,3,3635,0.001,14642,32
4292,458.8484848484849,0.05,-6171.721212121212,1.9669468402862549,3,3760,0.001,15142,33
4281,460.05882352941177,0.05,-6033.2235294117645,1.3302688598632812,3,3885,0.001,15642,34
4291,461.2,0.05,-5901.34,2.408353805541992,3,4010,0.001,16142,35
4300,462.27777777777777,0.05,-5777.43611111111,1.7010667324066162,3,4135,0.001,16642,36
4314,463.2972972972973,0.05,-5659.4,1.7612718343734741,3,4260,0.001,17142,37
4327,464.2631578947368,0.05,-5555.505263157895,1.7565853595733643,4,4385,0.001,17642,38
4339,465.1794871794872,0.05,-5453.505128205128,1.8770134449005127,4,4510,0.001,18142,39
4352,466.05,0.05,-5355.3275,1.6491825580596924,4,4635,0.001,18642,40
4363,466.8780487804878,0.05,-5266.356097560976,2.1183698177337646,4,4760,0.001,19142,41
4372,467.6666666666667,0.05,-5180.266666666667,2.013637065887451,4,4885,0.001,19642,42
4382,468.4186046511628,0.05,-5094.681395348837,2.9796884059906006,4,5010,0.001,20142,43
4391,469.1363636363636,0.05,-5002.968181818182,3.043165683746338,4,5135,0.001,20642,44
4402,469.8222222222222,0.05,-4914.993333333334,3.5232110023498535,4,5260,0.001,21142,45
4411,470.4782608695652,0.05,-4832.484782608696,2.0138275623321533,4,5385,0.001,21642,46
