Run,Learning Rate,Gamma,Avg Eval Reward,Avg Episode Length,Gridlock Rate
1,0.0001,0.95,-927.4,500.0,0%
2,0.0003,0.95,-885.0,500.0,0%
3,0.0005,0.95,-803.5,500.0,0%
4,0.001,0.95,-740.5,500.0,0%
5,0.005,0.95,-770.3,500.0,0%
6,0.0001,0.99,-881.4,500.0,0%
7,0.0003,0.99,-779.4,500.0,0%
8,0.0005,0.99,-799.8,500.0,0%
9,0.001,0.99,-775.5,500.0,0%
10,0.005,0.99,-864.3,500.0,0%
